participant_id,source_file,survey_term,source_row,hotdog_is_sandwich
fall-2022-0095,DS-4002-fa22-survey-results.xlsx,Fall 2022,95,No
fall-2022-0096,DS-4002-fa22-survey-results.xlsx,Fall 2022,96,Yes
fall-2022-0097,DS-4002-fa22-survey-results.xlsx,Fall 2022,97,No
fall-2022-0098,DS-4002-fa22-survey-results.xlsx,Fall 2022,98,No
fall-2022-0099,DS-4002-fa22-survey-results.xlsx,Fall 2022,99,No
fall-2022-0100,DS-4002-fa22-survey-results.xlsx,Fall 2022,100,No
fall-2022-0101,DS-4002-fa22-survey-results.xlsx,Fall 2022,101,No
fall-2022-0102,DS-4002-fa22-survey-results.xlsx,Fall 2022,102,No
fall-2022-0103,DS-4002-fa22-survey-results.xlsx,Fall 2022,103,No
fall-2022-0104,DS-4002-fa22-survey-results.xlsx,Fall 2022,104,No
fall-2022-0105,DS-4002-fa22-survey-results.xlsx,Fall 2022,105,Yes
fall-2022-0106,DS-4002-fa22-survey-results.xlsx,Fall 2022,106,No
fall-2022-0107,DS-4002-fa22-survey-results.xlsx,Fall 2022,107,Yes
fall-2022-0108,DS-4002-fa22-survey-results.xlsx,Fall 2022,108,Yes
fall-2022-0109,DS-4002-fa22-survey-results.xlsx,Fall 2022,109,Yes
fall-2022-0110,DS-4002-fa22-survey-results.xlsx,Fall 2022,110,No
fall-2022-0111,DS-4002-fa22-survey-results.xlsx,Fall 2022,111,Yes
fall-2022-0112,DS-4002-fa22-survey-results.xlsx,Fall 2022,112,No
fall-2022-0113,DS-4002-fa22-survey-results.xlsx,Fall 2022,113,No
fall-2022-0114,DS-4002-fa22-survey-results.xlsx,Fall 2022,114,No
fall-2022-0115,DS-4002-fa22-survey-results.xlsx,Fall 2022,115,No
fall-2022-0116,DS-4002-fa22-survey-results.xlsx,Fall 2022,116,No
fall-2022-0117,DS-4002-fa22-survey-results.xlsx,Fall 2022,117,No
fall-2022-0118,DS-4002-fa22-survey-results.xlsx,Fall 2022,118,No
fall-2022-0119,DS-4002-fa22-survey-results.xlsx,Fall 2022,119,No
fall-2022-0120,DS-4002-fa22-survey-results.xlsx,Fall 2022,120,No
fall-2022-0121,DS-4002-fa22-survey-results.xlsx,Fall 2022,121,Yes
fall-2022-0122,DS-4002-fa22-survey-results.xlsx,Fall 2022,122,Yes
fall-2022-0123,DS-4002-fa22-survey-results.xlsx,Fall 2022,123,Yes
fall-2022-0124,DS-4002-fa22-survey-results.xlsx,Fall 2022,124,No
fall-2022-0125,DS-4002-fa22-survey-results.xlsx,Fall 2022,125,Yes
fall-2022-0126,DS-4002-fa22-survey-results.xlsx,Fall 2022,126,No
fall-2022-0127,DS-4002-fa22-survey-results.xlsx,Fall 2022,127,Yes
fall-2022-0128,DS-4002-fa22-survey-results.xlsx,Fall 2022,128,No
fall-2022-0129,DS-4002-fa22-survey-results.xlsx,Fall 2022,129,Yes
fall-2022-0130,DS-4002-fa22-survey-results.xlsx,Fall 2022,130,No
fall-2022-0131,DS-4002-fa22-survey-results.xlsx,Fall 2022,131,No
fall-2022-0132,DS-4002-fa22-survey-results.xlsx,Fall 2022,132,No
fall-2022-0133,DS-4002-fa22-survey-results.xlsx,Fall 2022,133,No
fall-2022-0134,DS-4002-fa22-survey-results.xlsx,Fall 2022,134,No
fall-2022-0135,DS-4002-fa22-survey-results.xlsx,Fall 2022,135,Yes
fall-2022-0136,DS-4002-fa22-survey-results.xlsx,Fall 2022,136,Yes
fall-2022-0137,DS-4002-fa22-survey-results.xlsx,Fall 2022,137,Yes
fall-2022-0138,DS-4002-fa22-survey-results.xlsx,Fall 2022,138,No
fall-2022-0139,DS-4002-fa22-survey-results.xlsx,Fall 2022,139,No
fall-2022-0140,DS-4002-fa22-survey-results.xlsx,Fall 2022,140,No
fall-2022-0141,DS-4002-fa22-survey-results.xlsx,Fall 2022,141,No
fall-2022-0142,DS-4002-fa22-survey-results.xlsx,Fall 2022,142,No
fall-2022-0143,DS-4002-fa22-survey-results.xlsx,Fall 2022,143,Yes
fall-2022-0144,DS-4002-fa22-survey-results.xlsx,Fall 2022,144,No
fall-2022-0145,DS-4002-fa22-survey-results.xlsx,Fall 2022,145,No
fall-2022-0146,DS-4002-fa22-survey-results.xlsx,Fall 2022,146,No
fall-2022-0147,DS-4002-fa22-survey-results.xlsx,Fall 2022,147,Yes
fall-2022-0148,DS-4002-fa22-survey-results.xlsx,Fall 2022,148,No
fall-2022-0149,DS-4002-fa22-survey-results.xlsx,Fall 2022,149,No
fall-2022-0150,DS-4002-fa22-survey-results.xlsx,Fall 2022,150,No
fall-2022-0151,DS-4002-fa22-survey-results.xlsx,Fall 2022,151,No
fall-2022-0152,DS-4002-fa22-survey-results.xlsx,Fall 2022,152,Yes
fall-2022-0153,DS-4002-fa22-survey-results.xlsx,Fall 2022,153,No
fall-2022-0154,DS-4002-fa22-survey-results.xlsx,Fall 2022,154,Yes
fall-2022-0155,DS-4002-fa22-survey-results.xlsx,Fall 2022,155,No
fall-2022-0156,DS-4002-fa22-survey-results.xlsx,Fall 2022,156,No
fall-2022-0157,DS-4002-fa22-survey-results.xlsx,Fall 2022,157,No
fall-2022-0158,DS-4002-fa22-survey-results.xlsx,Fall 2022,158,No
fall-2022-0159,DS-4002-fa22-survey-results.xlsx,Fall 2022,159,No
fall-2022-0160,DS-4002-fa22-survey-results.xlsx,Fall 2022,160,Yes
fall-2022-0161,DS-4002-fa22-survey-results.xlsx,Fall 2022,161,No
fall-2022-0162,DS-4002-fa22-survey-results.xlsx,Fall 2022,162,Yes
fall-2022-0163,DS-4002-fa22-survey-results.xlsx,Fall 2022,163,No
fall-2022-0164,DS-4002-fa22-survey-results.xlsx,Fall 2022,164,No
fall-2022-0165,DS-4002-fa22-survey-results.xlsx,Fall 2022,165,Yes
fall-2022-0166,DS-4002-fa22-survey-results.xlsx,Fall 2022,166,No
fall-2022-0167,DS-4002-fa22-survey-results.xlsx,Fall 2022,167,Yes
fall-2022-0168,DS-4002-fa22-survey-results.xlsx,Fall 2022,168,No
fall-2022-0169,DS-4002-fa22-survey-results.xlsx,Fall 2022,169,Yes
fall-2022-0170,DS-4002-fa22-survey-results.xlsx,Fall 2022,170,No
fall-2022-0171,DS-4002-fa22-survey-results.xlsx,Fall 2022,171,No
fall-2022-0172,DS-4002-fa22-survey-results.xlsx,Fall 2022,172,Yes
fall-2022-0173,DS-4002-fa22-survey-results.xlsx,Fall 2022,173,Yes
fall-2022-0174,DS-4002-fa22-survey-results.xlsx,Fall 2022,174,No
fall-2022-0175,DS-4002-fa22-survey-results.xlsx,Fall 2022,175,No
fall-2022-0176,DS-4002-fa22-survey-results.xlsx,Fall 2022,176,Yes
fall-2022-0177,DS-4002-fa22-survey-results.xlsx,Fall 2022,177,Yes
fall-2022-0178,DS-4002-fa22-survey-results.xlsx,Fall 2022,178,No
fall-2022-0179,DS-4002-fa22-survey-results.xlsx,Fall 2022,179,Yes
fall-2022-0180,DS-4002-fa22-survey-results.xlsx,Fall 2022,180,No
fall-2022-0181,DS-4002-fa22-survey-results.xlsx,Fall 2022,181,Yes
fall-2022-0182,DS-4002-fa22-survey-results.xlsx,Fall 2022,182,No
fall-2022-0183,DS-4002-fa22-survey-results.xlsx,Fall 2022,183,No
fall-2022-0184,DS-4002-fa22-survey-results.xlsx,Fall 2022,184,No
fall-2022-0185,DS-4002-fa22-survey-results.xlsx,Fall 2022,185,No
fall-2022-0186,DS-4002-fa22-survey-results.xlsx,Fall 2022,186,No
fall-2022-0187,DS-4002-fa22-survey-results.xlsx,Fall 2022,187,No
fall-2022-0188,DS-4002-fa22-survey-results.xlsx,Fall 2022,188,No
fall-2022-0189,DS-4002-fa22-survey-results.xlsx,Fall 2022,189,No
fall-2022-0190,DS-4002-fa22-survey-results.xlsx,Fall 2022,190,No
fall-2022-0191,DS-4002-fa22-survey-results.xlsx,Fall 2022,191,No
fall-2022-0192,DS-4002-fa22-survey-results.xlsx,Fall 2022,192,No
fall-2022-0193,DS-4002-fa22-survey-results.xlsx,Fall 2022,193,Yes
fall-2022-0194,DS-4002-fa22-survey-results.xlsx,Fall 2022,194,Yes
spring-2023-0001,DS-4002-sp23-survey-results.csv,Spring 2023,1,No
spring-2023-0002,DS-4002-sp23-survey-results.csv,Spring 2023,2,No
spring-2023-0003,DS-4002-sp23-survey-results.csv,Spring 2023,3,No
spring-2023-0004,DS-4002-sp23-survey-results.csv,Spring 2023,4,No
spring-2023-0005,DS-4002-sp23-survey-results.csv,Spring 2023,5,No
spring-2023-0006,DS-4002-sp23-survey-results.csv,Spring 2023,6,No
spring-2023-0007,DS-4002-sp23-survey-results.csv,Spring 2023,7,Yes
spring-2023-0008,DS-4002-sp23-survey-results.csv,Spring 2023,8,Yes
spring-2023-0009,DS-4002-sp23-survey-results.csv,Spring 2023,9,No
spring-2023-0010,DS-4002-sp23-survey-results.csv,Spring 2023,10,No
spring-2023-0011,DS-4002-sp23-survey-results.csv,Spring 2023,11,No
spring-2023-0012,DS-4002-sp23-survey-results.csv,Spring 2023,12,No
spring-2023-0013,DS-4002-sp23-survey-results.csv,Spring 2023,13,No
spring-2023-0014,DS-4002-sp23-survey-results.csv,Spring 2023,14,Yes
spring-2023-0015,DS-4002-sp23-survey-results.csv,Spring 2023,15,No
spring-2023-0016,DS-4002-sp23-survey-results.csv,Spring 2023,16,No
spring-2023-0017,DS-4002-sp23-survey-results.csv,Spring 2023,17,No
spring-2023-0018,DS-4002-sp23-survey-results.csv,Spring 2023,18,No
spring-2023-0019,DS-4002-sp23-survey-results.csv,Spring 2023,19,Yes
spring-2023-0020,DS-4002-sp23-survey-results.csv,Spring 2023,20,No
spring-2023-0021,DS-4002-sp23-survey-results.csv,Spring 2023,21,No
spring-2023-0022,DS-4002-sp23-survey-results.csv,Spring 2023,22,No
spring-2023-0023,DS-4002-sp23-survey-results.csv,Spring 2023,23,No
spring-2023-0024,DS-4002-sp23-survey-results.csv,Spring 2023,24,No
spring-2023-0025,DS-4002-sp23-survey-results.csv,Spring 2023,25,No
spring-2023-0026,DS-4002-sp23-survey-results.csv,Spring 2023,26,Yes
spring-2023-0027,DS-4002-sp23-survey-results.csv,Spring 2023,27,Yes
spring-2023-0028,DS-4002-sp23-survey-results.csv,Spring 2023,28,Yes
spring-2023-0029,DS-4002-sp23-survey-results.csv,Spring 2023,29,No
spring-2023-0030,DS-4002-sp23-survey-results.csv,Spring 2023,30,Yes
spring-2023-0031,DS-4002-sp23-survey-results.csv,Spring 2023,31,No
spring-2023-0032,DS-4002-sp23-survey-results.csv,Spring 2023,32,Yes
spring-2023-0033,DS-4002-sp23-survey-results.csv,Spring 2023,33,Yes
spring-2023-0034,DS-4002-sp23-survey-results.csv,Spring 2023,34,No
spring-2023-0035,DS-4002-sp23-survey-results.csv,Spring 2023,35,No
spring-2023-0036,DS-4002-sp23-survey-results.csv,Spring 2023,36,Yes
spring-2023-0037,DS-4002-sp23-survey-results.csv,Spring 2023,37,No
spring-2023-0038,DS-4002-sp23-survey-results.csv,Spring 2023,38,Yes
spring-2023-0039,DS-4002-sp23-survey-results.csv,Spring 2023,39,Yes
spring-2023-0040,DS-4002-sp23-survey-results.csv,Spring 2023,40,No
spring-2023-0041,DS-4002-sp23-survey-results.csv,Spring 2023,41,No
spring-2023-0042,DS-4002-sp23-survey-results.csv,Spring 2023,42,No
spring-2023-0043,DS-4002-sp23-survey-results.csv,Spring 2023,43,No
spring-2023-0044,DS-4002-sp23-survey-results.csv,Spring 2023,44,Yes
spring-2023-0045,DS-4002-sp23-survey-results.csv,Spring 2023,45,Yes
spring-2023-0046,DS-4002-sp23-survey-results.csv,Spring 2023,46,Yes
spring-2023-0047,DS-4002-sp23-survey-results.csv,Spring 2023,47,No
spring-2023-0048,DS-4002-sp23-survey-results.csv,Spring 2023,48,Yes
spring-2023-0049,DS-4002-sp23-survey-results.csv,Spring 2023,49,Yes
spring-2023-0050,DS-4002-sp23-survey-results.csv,Spring 2023,50,No
spring-2023-0051,DS-4002-sp23-survey-results.csv,Spring 2023,51,No
spring-2023-0052,DS-4002-sp23-survey-results.csv,Spring 2023,52,No
spring-2023-0053,DS-4002-sp23-survey-results.csv,Spring 2023,53,No
spring-2023-0054,DS-4002-sp23-survey-results.csv,Spring 2023,54,Yes
spring-2023-0055,DS-4002-sp23-survey-results.csv,Spring 2023,55,Yes
spring-2023-0056,DS-4002-sp23-survey-results.csv,Spring 2023,56,Yes
spring-2023-0057,DS-4002-sp23-survey-results.csv,Spring 2023,57,No
spring-2023-0058,DS-4002-sp23-survey-results.csv,Spring 2023,58,No
spring-2023-0059,DS-4002-sp23-survey-results.csv,Spring 2023,59,Yes
spring-2023-0060,DS-4002-sp23-survey-results.csv,Spring 2023,60,Yes
spring-2023-0061,DS-4002-sp23-survey-results.csv,Spring 2023,61,No
spring-2023-0062,DS-4002-sp23-survey-results.csv,Spring 2023,62,Yes
spring-2023-0063,DS-4002-sp23-survey-results.csv,Spring 2023,63,Yes
spring-2023-0064,DS-4002-sp23-survey-results.csv,Spring 2023,64,Yes
spring-2023-0065,DS-4002-sp23-survey-results.csv,Spring 2023,65,No
spring-2023-0066,DS-4002-sp23-survey-results.csv,Spring 2023,66,No
spring-2023-0067,DS-4002-sp23-survey-results.csv,Spring 2023,67,No
spring-2023-0068,DS-4002-sp23-survey-results.csv,Spring 2023,68,Yes
spring-2023-0069,DS-4002-sp23-survey-results.csv,Spring 2023,69,Yes
spring-2023-0070,DS-4002-sp23-survey-results.csv,Spring 2023,70,No
spring-2023-0071,DS-4002-sp23-survey-results.csv,Spring 2023,71,No
spring-2023-0072,DS-4002-sp23-survey-results.csv,Spring 2023,72,No
spring-2023-0073,DS-4002-sp23-survey-results.csv,Spring 2023,73,Yes
spring-2023-0074,DS-4002-sp23-survey-results.csv,Spring 2023,74,No
spring-2023-0075,DS-4002-sp23-survey-results.csv,Spring 2023,75,No
spring-2023-0076,DS-4002-sp23-survey-results.csv,Spring 2023,76,No
spring-2023-0077,DS-4002-sp23-survey-results.csv,Spring 2023,77,No
spring-2023-0078,DS-4002-sp23-survey-results.csv,Spring 2023,78,No
spring-2023-0079,DS-4002-sp23-survey-results.csv,Spring 2023,79,No
spring-2023-0080,DS-4002-sp23-survey-results.csv,Spring 2023,80,No
spring-2023-0081,DS-4002-sp23-survey-results.csv,Spring 2023,81,No
spring-2023-0082,DS-4002-sp23-survey-results.csv,Spring 2023,82,No
spring-2023-0083,DS-4002-sp23-survey-results.csv,Spring 2023,83,No
spring-2023-0084,DS-4002-sp23-survey-results.csv,Spring 2023,84,Yes
spring-2023-0085,DS-4002-sp23-survey-results.csv,Spring 2023,85,No
spring-2023-0086,DS-4002-sp23-survey-results.csv,Spring 2023,86,Yes
spring-2023-0087,DS-4002-sp23-survey-results.csv,Spring 2023,87,Yes
spring-2023-0088,DS-4002-sp23-survey-results.csv,Spring 2023,88,No
spring-2023-0089,DS-4002-sp23-survey-results.csv,Spring 2023,89,No
spring-2023-0090,DS-4002-sp23-survey-results.csv,Spring 2023,90,No
spring-2023-0091,DS-4002-sp23-survey-results.csv,Spring 2023,91,No
spring-2023-0092,DS-4002-sp23-survey-results.csv,Spring 2023,92,No
spring-2023-0093,DS-4002-sp23-survey-results.csv,Spring 2023,93,No
spring-2023-0094,DS-4002-sp23-survey-results.csv,Spring 2023,94,Yes
spring-2023-0095,DS-4002-sp23-survey-results.csv,Spring 2023,95,No
spring-2023-0096,DS-4002-sp23-survey-results.csv,Spring 2023,96,No
spring-2023-0097,DS-4002-sp23-survey-results.csv,Spring 2023,97,No
spring-2023-0098,DS-4002-sp23-survey-results.csv,Spring 2023,98,No
spring-2023-0099,DS-4002-sp23-survey-results.csv,Spring 2023,99,No
spring-2023-0100,DS-4002-sp23-survey-results.csv,Spring 2023,100,No
spring-2023-0101,DS-4002-sp23-survey-results.csv,Spring 2023,101,No
spring-2023-0102,DS-4002-sp23-survey-results.csv,Spring 2023,102,No
spring-2023-0103,DS-4002-sp23-survey-results.csv,Spring 2023,103,No
spring-2023-0104,DS-4002-sp23-survey-results.csv,Spring 2023,104,Yes
spring-2023-0105,DS-4002-sp23-survey-results.csv,Spring 2023,105,No
spring-2023-0106,DS-4002-sp23-survey-results.csv,Spring 2023,106,No
spring-2023-0107,DS-4002-sp23-survey-results.csv,Spring 2023,107,No
spring-2023-0108,DS-4002-sp23-survey-results.csv,Spring 2023,108,No
spring-2023-0109,DS-4002-sp23-survey-results.csv,Spring 2023,109,No
spring-2023-0110,DS-4002-sp23-survey-results.csv,Spring 2023,110,No
spring-2023-0111,DS-4002-sp23-survey-results.csv,Spring 2023,111,No
spring-2023-0112,DS-4002-sp23-survey-results.csv,Spring 2023,112,Yes
spring-2023-0113,DS-4002-sp23-survey-results.csv,Spring 2023,113,No
spring-2023-0114,DS-4002-sp23-survey-results.csv,Spring 2023,114,No
spring-2023-0115,DS-4002-sp23-survey-results.csv,Spring 2023,115,No
spring-2023-0116,DS-4002-sp23-survey-results.csv,Spring 2023,116,Yes
spring-2023-0117,DS-4002-sp23-survey-results.csv,Spring 2023,117,No
spring-2023-0118,DS-4002-sp23-survey-results.csv,Spring 2023,118,No
spring-2023-0119,DS-4002-sp23-survey-results.csv,Spring 2023,119,Yes
spring-2023-0120,DS-4002-sp23-survey-results.csv,Spring 2023,120,No
spring-2023-0121,DS-4002-sp23-survey-results.csv,Spring 2023,121,No
spring-2023-0122,DS-4002-sp23-survey-results.csv,Spring 2023,122,Yes
spring-2023-0123,DS-4002-sp23-survey-results.csv,Spring 2023,123,No
spring-2023-0124,DS-4002-sp23-survey-results.csv,Spring 2023,124,No
spring-2023-0125,DS-4002-sp23-survey-results.csv,Spring 2023,125,No
spring-2023-0126,DS-4002-sp23-survey-results.csv,Spring 2023,126,No
spring-2023-0127,DS-4002-sp23-survey-results.csv,Spring 2023,127,No
spring-2023-0128,DS-4002-sp23-survey-results.csv,Spring 2023,128,No
spring-2023-0129,DS-4002-sp23-survey-results.csv,Spring 2023,129,Yes
spring-2023-0130,DS-4002-sp23-survey-results.csv,Spring 2023,130,No
spring-2023-0131,DS-4002-sp23-survey-results.csv,Spring 2023,131,No
spring-2023-0132,DS-4002-sp23-survey-results.csv,Spring 2023,132,No
spring-2023-0133,DS-4002-sp23-survey-results.csv,Spring 2023,133,No
spring-2023-0134,DS-4002-sp23-survey-results.csv,Spring 2023,134,No
spring-2023-0135,DS-4002-sp23-survey-results.csv,Spring 2023,135,No
spring-2023-0136,DS-4002-sp23-survey-results.csv,Spring 2023,136,No
spring-2023-0137,DS-4002-sp23-survey-results.csv,Spring 2023,137,No
spring-2023-0138,DS-4002-sp23-survey-results.csv,Spring 2023,138,Yes
spring-2023-0139,DS-4002-sp23-survey-results.csv,Spring 2023,139,Yes
spring-2023-0140,DS-4002-sp23-survey-results.csv,Spring 2023,140,Yes
spring-2023-0141,DS-4002-sp23-survey-results.csv,Spring 2023,141,No
spring-2023-0142,DS-4002-sp23-survey-results.csv,Spring 2023,142,No
spring-2023-0143,DS-4002-sp23-survey-results.csv,Spring 2023,143,No
spring-2023-0144,DS-4002-sp23-survey-results.csv,Spring 2023,144,No
spring-2023-0145,DS-4002-sp23-survey-results.csv,Spring 2023,145,No
spring-2023-0146,DS-4002-sp23-survey-results.csv,Spring 2023,146,No
spring-2023-0147,DS-4002-sp23-survey-results.csv,Spring 2023,147,No
spring-2023-0148,DS-4002-sp23-survey-results.csv,Spring 2023,148,Yes
spring-2023-0149,DS-4002-sp23-survey-results.csv,Spring 2023,149,Yes
spring-2023-0150,DS-4002-sp23-survey-results.csv,Spring 2023,150,No
spring-2023-0151,DS-4002-sp23-survey-results.csv,Spring 2023,151,No
spring-2023-0152,DS-4002-sp23-survey-results.csv,Spring 2023,152,No
spring-2023-0153,DS-4002-sp23-survey-results.csv,Spring 2023,153,No
spring-2023-0154,DS-4002-sp23-survey-results.csv,Spring 2023,154,No
spring-2023-0155,DS-4002-sp23-survey-results.csv,Spring 2023,155,Yes
spring-2023-0156,DS-4002-sp23-survey-results.csv,Spring 2023,156,No
