Time stamp,Time,Date,What year are you in?,Is hotdog a sandwich?
8/31/2025 12:22:31,12:22:31 PM,8/31/2025,3,No
8/31/2025 12:25:05,12:25:05 PM,8/31/2025,4,No
8/31/2025 12:30:10,12:30:10 PM,8/31/2025,4,No
8/31/2025 13:10:25,1:10:25 PM,8/31/2025,4,Yes
8/31/2025 13:12:20,1:12:20 PM,8/31/2025,4,Yes
8/31/2025 13:12:56,1:12:56 PM,8/31/2025,4,Yes
8/31/2025 13:14:42,1:14:42 PM,8/31/2025,3,No
8/31/2025 13:22:56,1:22:56 PM,8/31/2025,2,No
8/31/2025 13:25:33,1:25:33 PM,8/31/2025,3,No
8/31/2025 13:50:23,1:50:23 PM,8/31/2025,4,Yes
8/31/2025 14:13:50,2:13:50 PM,8/31/2025,3,Yes
8/31/2025 14:18:08,2:18:08 PM,8/31/2025,2,No
8/31/2025 14:18:16,2:18:16 PM,8/31/2025,3,Yes
8/31/2025 14:18:47,2:18:47 PM,8/31/2025,4,No
8/31/2025 14:19:42,2:19:42 PM,8/31/2025,4,No
8/31/2025 14:21:10,2:21:10 PM,8/31/2025,3,No
8/31/2025 14:25:24,2:25:24 PM,8/31/2025,3,Yes
8/31/2025 14:30:15,2:30:15 PM,8/31/2025,2,No
8/31/2025 14:31:01,2:31:01 PM,8/31/2025,3,No
8/31/2025 14:44:03,2:44:03 PM,8/31/2025,2,No
8/31/2025 14:54:06,2:54:06 PM,8/31/2025,3,Yes
8/31/2025 14:54:17,2:54:17 PM,8/31/2025,4,No
8/31/2025 15:23:30,3:23:30 PM,8/31/2025,4,No
8/31/2025 15:40:13,3:40:13 PM,8/31/2025,4,Yes
8/31/2025 15:43:19,3:43:19 PM,8/31/2025,4,No
8/31/2025 15:43:50,3:43:50 PM,8/31/2025,1,No
8/31/2025 15:43:50,3:43:50 PM,8/31/2025,2,No
8/31/2025 15:44:17,3:44:17 PM,8/31/2025,3,No
8/31/2025 15:45:03,3:45:03 PM,8/31/2025,2,Yes
8/31/2025 15:45:38,3:45:38 PM,8/31/2025,2,No
8/31/2025 15:45:59,3:45:59 PM,8/31/2025,3,No
8/31/2025 15:46:27,3:46:27 PM,8/31/2025,4,Yes
8/31/2025 15:46:28,3:46:28 PM,8/31/2025,3,No
8/31/2025 15:46:55,3:46:55 PM,8/31/2025,4,Yes
8/31/2025 15:47:16,3:47:16 PM,8/31/2025,4,No
8/31/2025 15:47:34,3:47:34 PM,8/31/2025,2,No
8/31/2025 15:49:19,3:49:19 PM,8/31/2025,4,No
8/31/2025 15:52:46,3:52:46 PM,8/31/2025,3,No
8/31/2025 15:58:43,3:58:43 PM,8/31/2025,4,No
8/31/2025 16:08:29,4:08:29 PM,8/31/2025,3,No
8/31/2025 16:09:17,4:09:17 PM,8/31/2025,3,Yes
8/31/2025 16:13:45,4:13:45 PM,8/31/2025,3,No
8/31/2025 16:15:41,4:15:41 PM,8/31/2025,4,No
8/31/2025 16:43:22,4:43:22 PM,8/31/2025,4,Yes
8/31/2025 16:43:25,4:43:25 PM,8/31/2025,4,Yes
8/31/2025 17:00:50,5:00:50 PM,8/31/2025,4,Yes
8/31/2025 17:01:03,5:01:03 PM,8/31/2025,4,No
8/31/2025 17:05:20,5:05:20 PM,8/31/2025,1,No
8/31/2025 17:23:14,5:23:14 PM,8/31/2025,4,Yes
8/31/2025 17:29:17,5:29:17 PM,8/31/2025,2,Yes
8/31/2025 17:38:19,5:38:19 PM,8/31/2025,4,Yes
8/31/2025 17:44:06,5:44:06 PM,8/31/2025,3,No
8/31/2025 17:47:08,5:47:08 PM,8/31/2025,4,No
8/31/2025 17:50:22,5:50:22 PM,8/31/2025,4,Yes
8/31/2025 18:09:27,6:09:27 PM,8/31/2025,4,No
8/31/2025 18:09:29,6:09:29 PM,8/31/2025,4,No
8/31/2025 18:09:32,6:09:32 PM,8/31/2025,4,No
8/31/2025 18:18:14,6:18:14 PM,8/31/2025,2,No
8/31/2025 18:30:25,6:30:25 PM,8/31/2025,4,No
8/31/2025 18:44:49,6:44:49 PM,8/31/2025,4,Yes
8/31/2025 19:03:31,7:03:31 PM,8/31/2025,4,No
8/31/2025 19:04:20,7:04:20 PM,8/31/2025,4,No
8/31/2025 19:30:36,7:30:36 PM,8/31/2025,4,No
8/31/2025 19:50:53,7:50:53 PM,8/31/2025,4,No
8/31/2025 20:51:18,8:51:18 PM,8/31/2025,4,Yes
8/31/2025 20:58:48,8:58:48 PM,8/31/2025,3,No
8/31/2025 21:06:04,9:06:04 PM,8/31/2025,4,No
8/31/2025 21:06:12,9:06:12 PM,8/31/2025,4,No
8/31/2025 21:21:52,9:21:52 PM,8/31/2025,4,No
8/31/2025 21:26:36,9:26:36 PM,8/31/2025,4,No
8/31/2025 21:44:08,9:44:08 PM,8/31/2025,4,No
8/31/2025 22:07:39,10:07:39 PM,8/31/2025,3,No
8/31/2025 22:12:19,10:12:19 PM,8/31/2025,2,No
8/31/2025 22:21:53,10:21:53 PM,8/31/2025,4,No
8/31/2025 22:24:42,10:24:42 PM,8/31/2025,4,Yes
8/31/2025 22:32:08,10:32:08 PM,8/31/2025,4,No
8/31/2025 22:33:11,10:33:11 PM,8/31/2025,4,No
8/31/2025 22:41:58,10:41:58 PM,8/31/2025,4,Yes
8/31/2025 23:04:46,11:04:46 PM,8/31/2025,4,No
8/31/2025 23:06:20,11:06:20 PM,8/31/2025,4,No
8/31/2025 23:06:48,11:06:48 PM,8/31/2025,4,Yes
8/31/2025 23:06:58,11:06:58 PM,8/31/2025,4,No
8/31/2025 23:08:19,11:08:19 PM,8/31/2025,4,No
8/31/2025 23:09:03,11:09:03 PM,8/31/2025,4,No
8/31/2025 23:11:27,11:11:27 PM,8/31/2025,4,Yes
8/31/2025 23:12:23,11:12:23 PM,8/31/2025,4,Yes
8/31/2025 23:14:30,11:14:30 PM,8/31/2025,4,No
8/31/2025 23:32:42,11:32:42 PM,8/31/2025,4,No
8/31/2025 23:35:29,11:35:29 PM,8/31/2025,4,No
8/31/2025 23:47:06,11:47:06 PM,8/31/2025,4,Yes
9/1/2025 0:44:17,12:44:17 AM,9/1/2025,3,No
9/1/2025 0:46:48,12:46:48 AM,9/1/2025,4,No
9/1/2025 0:50:56,12:50:56 AM,9/1/2025,4,Yes
9/1/2025 1:11:31,1:11:31 AM,9/1/2025,4,No
9/1/2025 3:21:39,3:21:39 AM,9/1/2025,2,No
9/1/2025 7:26:38,7:26:38 AM,9/1/2025,4,No
9/1/2025 8:58:49,8:58:49 AM,9/1/2025,4,No
9/1/2025 9:00:50,9:00:50 AM,9/1/2025,4,Yes
9/1/2025 10:05:43,10:05:43 AM,9/1/2025,3,No
9/1/2025 10:06:17,10:06:17 AM,9/1/2025,2,Yes
9/1/2025 10:06:58,10:06:58 AM,9/1/2025,2,No
9/1/2025 10:07:19,10:07:19 AM,9/1/2025,3,No
9/1/2025 10:07:28,10:07:28 AM,9/1/2025,2,No
9/1/2025 10:09:55,10:09:55 AM,9/1/2025,2,Yes
9/1/2025 10:12:16,10:12:16 AM,9/1/2025,2,No
9/1/2025 10:22:43,10:22:43 AM,9/1/2025,4,Yes
9/1/2025 10:22:49,10:22:49 AM,9/1/2025,4,No
9/1/2025 10:23:27,10:23:27 AM,9/1/2025,2,No
9/1/2025 10:28:41,10:28:41 AM,9/1/2025,4,No
9/1/2025 10:30:42,10:30:42 AM,9/1/2025,2,Yes
9/1/2025 10:30:47,10:30:47 AM,9/1/2025,3,No
9/1/2025 10:30:54,10:30:54 AM,9/1/2025,3,Yes
9/1/2025 10:30:58,10:30:58 AM,9/1/2025,4,No
9/1/2025 10:31:02,10:31:02 AM,9/1/2025,1,No
9/1/2025 10:36:03,10:36:03 AM,9/1/2025,4,No
9/1/2025 10:37:06,10:37:06 AM,9/1/2025,2,No
9/1/2025 10:47:27,10:47:27 AM,9/1/2025,3,No
9/1/2025 10:55:25,10:55:25 AM,9/1/2025,4,No
9/1/2025 10:56:44,10:56:44 AM,9/1/2025,4,No
9/1/2025 10:57:07,10:57:07 AM,9/1/2025,2,No
9/1/2025 11:26:21,11:26:21 AM,9/1/2025,3,No
9/1/2025 11:28:56,11:28:56 AM,9/1/2025,4,No
9/1/2025 11:31:09,11:31:09 AM,9/1/2025,4,No
9/1/2025 11:44:45,11:44:45 AM,9/1/2025,4,Yes
9/1/2025 11:50:49,11:50:49 AM,9/1/2025,4,No
9/1/2025 11:51:13,11:51:13 AM,9/1/2025,2,No
9/1/2025 11:52:36,11:52:36 AM,9/1/2025,3,No
9/1/2025 11:56:12,11:56:12 AM,9/1/2025,4,No
9/1/2025 12:07:37,12:07:37 PM,9/1/2025,4,No
9/1/2025 12:10:15,12:10:15 PM,9/1/2025,4,Yes
9/1/2025 12:11:24,12:11:24 PM,9/1/2025,4,No
9/1/2025 12:13:56,12:13:56 PM,9/1/2025,3,No
9/1/2025 12:18:07,12:18:07 PM,9/1/2025,4,Yes
9/1/2025 12:18:41,12:18:41 PM,9/1/2025,2,Yes
9/1/2025 12:18:42,12:18:42 PM,9/1/2025,4,Yes
