Id,Start time,Completion time,Email,Name,Is a hotdog a sandwich,Are you a UVA undergraduate student,What is your major?
156,9/2/2024 14:45,9/2/2024 14:46,anonymous,,No,Yes,CS
157,9/2/2024 14:46,9/2/2024 14:46,anonymous,,Yes,Yes,computer engineering
158,9/2/2024 14:49,9/2/2024 14:49,anonymous,,No,Yes,Cs
159,9/2/2024 14:49,9/2/2024 14:49,anonymous,,Yes,Yes,Nursing
160,9/2/2024 15:07,9/2/2024 15:08,anonymous,,Yes,Yes,Aerospace engineering
161,9/2/2024 15:20,9/2/2024 15:20,anonymous,,No,Yes,Global Security
162,9/2/2024 15:28,9/2/2024 15:28,anonymous,,No,Yes,Commerce/CA
163,9/2/2024 15:45,9/2/2024 15:45,anonymous,,No,Yes,Biology
164,9/2/2024 15:52,9/2/2024 15:52,anonymous,,No,Yes,CS
165,9/2/2024 16:21,9/2/2024 16:21,anonymous,,No,Yes,Architecture 
166,9/2/2024 16:28,9/2/2024 16:28,anonymous,,No,Yes,GPH
167,9/2/2024 16:29,9/2/2024 16:30,anonymous,,No,Yes,History
168,9/3/2024 9:36,9/3/2024 9:36,anonymous,,No,Yes,Biology
169,9/3/2024 9:39,9/3/2024 9:39,anonymous,,No,Yes,Systems engineering 
170,9/3/2024 9:40,9/3/2024 9:40,anonymous,,Yes,Yes,Economics 
171,9/3/2024 9:41,9/3/2024 9:41,anonymous,,Yes,Yes,Systems Engineering
172,9/3/2024 9:42,9/3/2024 9:42,anonymous,,Yes,Yes,Leadership and Public Policy
173,9/3/2024 9:42,9/3/2024 9:43,anonymous,,No,Yes,Econ
174,9/3/2024 9:45,9/3/2024 9:45,anonymous,,Yes,Yes,"Political Philosophy, Policy & Law"
175,9/3/2024 10:26,9/3/2024 10:27,anonymous,,Yes,Yes,CS
176,9/3/2024 10:30,9/3/2024 10:31,anonymous,,Yes,Yes,Computer science
177,9/3/2024 12:46,9/3/2024 12:46,anonymous,,No,Yes,Neuroscience
178,9/3/2024 16:13,9/3/2024 16:13,anonymous,,No,Yes,econ
179,9/3/2024 18:29,9/3/2024 18:29,anonymous,,No,Yes,Economics
180,9/3/2024 18:31,9/3/2024 18:31,anonymous,,No,Yes,YSI
181,9/3/2024 19:11,9/3/2024 19:11,anonymous,,No,Yes,Chem
182,9/3/2024 19:14,9/3/2024 19:14,anonymous,,No,Yes,Econ and stat 
183,9/3/2024 20:09,9/3/2024 20:09,anonymous,,No,Yes,Civil Engineering
184,9/3/2024 20:11,9/3/2024 20:11,anonymous,,No,Yes,Biology
185,9/3/2024 20:57,9/3/2024 20:57,anonymous,,Yes,Yes,Systems engineering 
186,9/3/2024 21:14,9/3/2024 21:15,anonymous,,Yes,Yes,Statistics
187,9/3/2024 21:30,9/3/2024 21:30,anonymous,,No,Yes,Politics
