Do you like hot dogs?,Is a hot dog a sandwich,Feel free to elaborate on your opinion below,Are You an Undergraduate
Yes,No,It is it’s own thing,Yes
Yes,No,,Yes
Yes,No,it's a hot dog.,Yes
No,No,,Yes
Yes,No,,Yes
Yes,Yes,,Yes
Yes,No,"it is not regular sliced bread, therefore, not a sandwich",Yes
Yes,Yes,"All squares are rectangles, but not all rectangles are squares; all hotdogs are sandwiches, but not all sandwiches are hotdogs.",Yes
Yes,Yes,"Yes since this is the definition of sandwich “ an item of food consisting of two pieces of bread with meat, cheese, or other filling between them, eaten as a light meal.”",Yes
Yes,Yes,,Yes
Yes,No,Diff category ,Yes
Yes,No,,Yes
Yes,Yes,no <3,Yes
Yes,No,Hotdog is a taco,Yes
Yes,Yes,Well it’s not a soup or a salad,Yes
Yes,No,bread connected therefore taco not sandwich,Yes
Yes,Yes,"Literally just sausage on sub sandwich bread (note lobster roll, philly cheesesteak as similar structured foods, also sandwiches).",Yes
Yes,Yes,"Everything can be classified as a soup, a sandwich, a soup-sandwich, or a sandwich-soup. A hot dog is a simple form of a sandwich, just like cereal is a simple form of a soup. Both are so like a sandwich and a soup that they just are their respective categories.",Yes
No,Yes,"So I wouldn’t call it a sandwich per se, but it is in the sandwich category. Same with subs as they are sub way sandwiches. It’s meat wrapped with bread. ",Yes
No,No,,Yes
No,No,,Yes
Yes,No,,Yes
Yes,Yes,,Yes
Yes,No,Hotdogs are held differently from sandwiches. Hotdogs are made out of one piece of bread cut through the middle. Sandwiches are made with two pieces of bread. Etc etc ,Yes
Yes,No,Heeheha,Yes
